"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant","=""13-2011""","1,579.8","1,652.6","72.8","4.6","124.2","81,680","Bachelor's degree","3","None","4","None","6"
"Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist","=""27-2011""","57.0","57.1","0.2","0.3","6.3","N/A","Some college, no degree","6","None","4","Long-term on-the-job training","3"
"Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary","=""15-2011""","33.6","40.9","7.3","21.8","2.4","125,770","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Acupuncturists    * Acupuncture Physician* Licensed Acupuncturist","=""29-1291""","15.3","16.4","1.0","6.8","0.9","78,140","Master's degree","2","None","4","None","6"
"Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator","=""51-9191""","12.2","12.3","0.1","1.0","1.3","45,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee","=""23-1021""","17.5","17.4","-0.1","-0.7","0.5","115,230","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5"
"Administrative services managers    * Business Office Manager* Business Unit Manager* Records Management Director* Records and Information Manager* University Registrar","=""11-3012""","271.2","283.8","12.6","4.6","23.2","108,390","Bachelor's degree","3","Less than 5 years","2","None","6"
"Adult basic education, adult secondary education, and english as a second language instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult English as a Second Language (ESL) Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED¿ Instructor* General Educational Development (GED¿) Teacher* General Educational Development Teacher","=""25-3011""","40.9","35.3","-5.6","-13.7","3.9","59,950","Bachelor's degree","3","None","4","None","6"
"Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotions Director* Promotions Manager* VP Advertising* VP Promotions","=""11-2011""","27.0","26.4","-0.6","-2.2","2.1","126,960","Bachelor's degree","3","Less than 5 years","2","None","6"
"Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson","=""41-3011""","103.7","97.1","-6.6","-6.4","9.3","61,460","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Aerospace engineering and operations technologists and technicians    * Aerospace Engineering and Operations Technologist* Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician","=""17-3021""","9.3","10.1","0.8","8.1","0.9","79,830","Associate's degree","4","None","4","None","6"
"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","=""17-2011""","71.6","75.9","4.4","6.1","4.5","134,830","Bachelor's degree","3","None","4","None","6"
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","=""13-1011""","21.4","23.2","1.9","8.7","2.2","96,310","Bachelor's degree","3","Less than 5 years","2","None","6"
"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","=""17-2021""","1.7","1.8","0.1","5.9","0.1","84,630","Bachelor's degree","3","None","4","None","6"
"Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Feed Mixer Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver","=""45-2091""","65.2","70.3","5.0","7.7","10.5","42,580","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector","=""45-2011""","14.7","14.9","0.2","1.5","2.2","50,990","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor","=""25-1041""","10.7","11.2","0.4","4.1","0.8","86,350","Doctoral or professional degree","1","None","4","None","6"
"Agricultural technicians    * Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Feed Mill Lab Technician* Feed Research Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician","=""19-4012""","18.6","19.4","0.8","4.3","2.9","46,790","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman","=""45-2099""","10.1","10.3","0.2","2.3","1.5","40,390","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller","=""53-2021""","24.1","24.4","0.3","1.2","2.2","144,580","Associate's degree","4","None","4","Long-term on-the-job training","3"
"Aircraft cargo handling supervisors    * Air Cargo Ground Crew Supervisor* Air Cargo Ground Operations Supervisor* Air Cargo Supervisor* Aircraft Loadmaster* Airport Ramp Supervisor","=""53-1041""","10.3","10.8","0.5","5.2","1.1","63,940","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Aircraft mechanics and service technicians    * A&P Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe and Power Plant Mechanic* Airplane Rigger* FAA Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Engine Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-Driven Airplane Mechanic","=""49-3011""","139.4","145.0","5.6","4.0","11.3","78,680","Postsecondary nondegree award","5","None","4","None","6"
"Aircraft service attendants    * Aircraft De-Icer* Aircraft Refueler* Airplane Refueler","=""53-6032""","28.0","29.5","1.4","5.1","4.3","41,540","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer","=""51-2011""","33.6","28.7","-4.9","-14.5","2.8","61,680","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator","=""53-2022""","16.9","17.6","0.7","4.2","1.6","56,750","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","=""53-2011""","100.0","103.9","3.9","3.9","11.7","226,600","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
