SOC Code,title,ai_applicability_score,Employment 2024 (Thousands),Employment 2034 (Thousands),"Employment Change, 2024-2034 (Thousands)","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
11-1011,Chief Executives,0.1555028981,309.4,322.7,13.3,4.3,22.2,"206,420",Bachelor's degree,3,5 years or more,1,None,
11-1021,General and Operations Managers,0.1210284327,"3,712.90","3,876.80",164,4.4,308.7,"102,950",Bachelor's degree,3,5 years or more,1,None,
11-1031,Legislators,0.2689786691,27.7,28.6,0.9,3.4,2.2,"44,810",Bachelor's degree,3,Less than 5 years,2,None,
11-2011,Advertising and Promotions Managers,0.1954088804,27,26.4,-0.6,-2.2,2.1,"126,960",Bachelor's degree,3,Less than 5 years,2,None,
11-2021,Marketing Managers,0.1891698158,407,433.7,26.7,6.6,34.3,"161,030",Bachelor's degree,3,5 years or more,1,None,
11-2022,Sales Managers,0.1641752821,619.5,648.5,29,4.7,49,"138,060",Bachelor's degree,3,Less than 5 years,2,None,
11-2032,Public Relations Managers,0.2302471362,83.2,87.3,4.1,5,6.6,"138,520",Bachelor's degree,3,5 years or more,1,None,
11-2033,Fundraising Managers,0.1527027105,45.7,47.6,1.9,4.2,3.6,"123,480",Bachelor's degree,3,5 years or more,1,None,
11-3012,Administrative Services Managers,0.08705142015,271.2,283.8,12.6,4.6,23.2,"108,390",Bachelor's degree,3,Less than 5 years,2,None,
11-3013,Facilities Managers,0.06272313094,151.4,157.1,5.7,3.8,13.2,"104,690",Bachelor's degree,3,Less than 5 years,2,None,
11-3021,Computer and Information Systems Managers,0.1518935144,667.1,768.7,101.6,15.2,55.6,"171,200",Bachelor's degree,3,5 years or more,1,None,
11-3031,Financial Managers,0.1488033543,868.6,997.4,128.8,14.8,74.6,"161,700",Bachelor's degree,3,5 years or more,1,None,
11-3051,Industrial Production Managers,0.1220589751,241.9,246.5,4.6,1.9,17.1,"121,440",Bachelor's degree,3,5 years or more,1,None,
11-3061,Purchasing Managers,0.1054953785,83.5,86.1,2.6,3.1,6.4,"139,510",Bachelor's degree,3,5 years or more,1,None,
11-3071,"Transportation, Storage, and Distribution Managers",0.206262034,216.7,229.8,13.1,6.1,18.5,"102,010",High school diploma or equivalent,7,5 years or more,1,None,
11-3111,Compensation and Benefits Managers,0.1413063123,20.9,20.9,0,0.2,1.5,"140,360",Bachelor's degree,3,5 years or more,1,None,
11-3121,Human Resources Managers,0.1370417875,221.9,233,11.1,5,17.9,"140,030",Bachelor's degree,3,5 years or more,1,None,
11-3131,Training and Development Managers,0.1929281337,46.4,49.2,2.7,5.8,3.8,"127,090",Bachelor's degree,3,5 years or more,1,None,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.09611904798,836.1,825,-11.1,-1.3,85.5,"87,980",High school diploma or equivalent,7,5 years or more,1,None,
11-9021,Construction Managers,0.1450059597,550.3,598.4,48.1,8.7,46.8,"106,980",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.1342715669,90.2,87.9,-2.3,-2.5,5.5,"56,270",Bachelor's degree,3,Less than 5 years,2,None,
11-9032,"Education Administrators, Kindergarten through Secondary",0.1373058905,333.3,328.1,-5.1,-1.5,20.8,"104,070",Master's degree,2,5 years or more,1,None,
11-9033,"Education Administrators, Postsecondary",0.09634999565,226.6,230.5,4,1.7,15.1,"103,960",Master's degree,2,Less than 5 years,2,None,
11-9041,Architectural and Engineering Managers,0.1719918891,212.5,220.5,8,3.8,14.5,"167,740",Bachelor's degree,3,5 years or more,1,None,
11-9051,Food Service Managers,0.1001910094,352.8,375.3,22.6,6.4,42,"65,310",High school diploma or equivalent,7,Less than 5 years,2,Short-term on-the-job training,
11-9071,Gambling Managers,0.1890467284,5.1,5.2,0.1,1.2,0.6,"85,580",High school diploma or equivalent,7,Less than 5 years,2,None,
11-9072,"Entertainment and Recreation Managers, Except Gambling",0.2739809555,43.2,46.5,3.3,7.7,5.5,"77,180",Bachelor's degree,3,Less than 5 years,2,None,
11-9081,Lodging Managers,0.2084019751,52,53.8,1.8,3.4,5.4,"68,130",High school diploma or equivalent,7,Less than 5 years,2,None,
11-9111,Medical and Health Services Managers,0.1632890897,616.2,759.1,142.9,23.2,62.1,"117,960",Bachelor's degree,3,Less than 5 years,2,None,
11-9121,Natural Sciences Managers,0.1175215751,104.3,108.2,3.9,3.7,8.5,"161,180",Bachelor's degree,3,5 years or more,1,None,
11-9131,Postmasters and Mail Superintendents,0.1091451813,13.1,12.7,-0.5,-3.5,0.9,"92,730",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
11-9141,"Property, Real Estate, and Community Association Managers",0.1393378763,466.1,483.1,17,3.6,39,"66,700",High school diploma or equivalent,7,Less than 5 years,2,Short-term on-the-job training,
11-9151,Social and Community Service Managers,0.1558151951,219.8,233.9,14.1,6.4,18.6,"78,240",Bachelor's degree,3,Less than 5 years,2,None,
11-9161,Emergency Management Directors,0.2003449317,13.2,13.6,0.4,3,1,"86,130",Bachelor's degree,3,5 years or more,1,None,
11-9171,Funeral Home Managers,0.1661957666,32.1,33.4,1.3,4.1,2.6,"76,830",Associate's degree,4,Less than 5 years,2,None,
11-9179,"Personal Service Managers, All Other",0.1520016067,25.1,26.7,1.6,6.5,2.1,"61,340",High school diploma or equivalent,7,Less than 5 years,2,None,
11-9199,"Managers, All Other",0.1457788699,"1,333.70","1,393.50",59.8,4.5,106.7,"136,550",Bachelor's degree,3,Less than 5 years,2,None,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.2688759858,21.4,23.2,1.9,8.7,2.2,"96,310",Bachelor's degree,3,Less than 5 years,2,None,
13-1020,Buyers and Purchasing Agents,0.2068672124,522.2,552.3,30.1,5.8,52.2,"75,650",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
13-1031,"Claims Adjusters, Examiners, and Investigators",0.2070534122,356.1,337.9,-18.2,-5.1,21.1,"76,790",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
13-1032,"Insurance Appraisers, Auto Damage",0.2717524686,9.2,8.4,-0.8,-8.2,0.5,"76,650",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,
13-1041,Compliance Officers,0.2003403917,418,430.3,12.3,3,33.3,"78,420",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
